budget,id_pelicula,original_language,overview,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,genres_ok,spoken_languages_ok,production_countries,belong_to_collection,production_companies_ok,release_year,return
160000000.0,27205,en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",29.108149,2010-07-14,825532764.0,148.0,Released,Your mind is the scene of the crime.,Inception,8.1,14075,"Action,Thriller,Science Fiction,Mystery,Adventure",English,"United Kingdom,United States of America",,"Legendary Pictures,Warner Bros.,Syncopy",2010,5.16
185000000.0,155,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",123.167259,2008-07-16,1004558444.0,152.0,Released,Why So Serious?,The Dark Knight,8.3,12269,"Drama,Action,Crime,Thriller","English,普通话","United Kingdom,United States of America",The Dark Knight Collection,"DC Comics,Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy",2008,5.43
237000000.0,19995,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",185.070892,2009-12-10,2787965087.0,162.0,Released,Enter the World of Pandora.,Avatar,7.2,12114,"Action,Adventure,Fantasy,Science Fiction","English,Español","United Kingdom,United States of America",Avatar Collection,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,Dune Entertainment,Lightstorm Entertainment",2009,11.76
220000000.0,24428,en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",89.887648,2012-04-25,1519557910.0,143.0,Released,Some assembly required.,The Avengers,7.4,12000,"Science Fiction,Action,Adventure",English,United States of America,The Avengers Collection,"Paramount Pictures,Marvel Studios",2012,6.91
58000000.0,293660,en,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",187.860492,2016-02-09,783112979.0,108.0,Released,Witness the beginning of a happy ending,Deadpool,7.4,11444,"Action,Adventure,Comedy",English,United States of America,Deadpool Collection,"Twentieth Century Fox Film Corporation,Marvel Entertainment,The Donners' Company,TSG Entertainment,Kinberg Genre",2016,13.5
165000000.0,157336,en,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,32.213481,2014-11-05,675120017.0,169.0,Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.1,11187,"Adventure,Drama,Science Fiction",English,"Canada,United Kingdom,United States of America",,"Paramount Pictures,Legendary Pictures,Warner Bros.,Syncopy,Lynda Obst Productions",2014,4.09
100000000.0,68718,en,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",19.785025,2012-12-25,425368238.0,165.0,Released,"Life, liberty and the pursuit of vengeance.",Django Unchained,7.8,10297,"Drama,Western","English,Français,Deutsch",United States of America,,"Columbia Pictures,The Weinstein Company",2012,4.25
170000000.0,118340,en,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",53.291601,2014-07-30,773328629.0,121.0,Released,All heroes start somewhere.,Guardians of the Galaxy,7.9,10014,"Action,Science Fiction,Adventure",English,"United Kingdom,United States of America",Guardians of the Galaxy Collection,"Marvel Studios,Moving Picture Company (MPC),Bulletproof Cupid,Revolution Sun Studios",2014,4.55
63000000.0,550,en,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",63.869599,1999-10-15,100853753.0,139.0,Released,Mischief. Mayhem. Soap.,Fight Club,8.3,9678,Drama,English,"Germany,United States of America",,"Twentieth Century Fox Film Corporation,Regency Enterprises,Fox 2000 Pictures,Taurus Film,Linson Films,Atman Entertainment,Knickerbocker Films",1999,1.6
75000000.0,70160,en,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",20.031667,2012-03-12,691210692.0,142.0,Released,May The Odds Be Ever In Your Favor.,The Hunger Games,6.9,9634,"Science Fiction,Adventure,Fantasy",English,United States of America,The Hunger Games Collection,"Lionsgate,Color Force",2012,9.22
